Slide ID,Date,Classification,Gradient,Elevation,Quality,RBCs Count,Heterophil,Lymphocyte,H/L Ratios:,Malaria,Eosinophil,Monocyte,Basophil,Leuk.,Tryp.,WBC Counts,Parasitemia,Parasite,Monthly F,Monthly C,Temp F,Temp C
2970-08301,24052,Urban,1,103,G,10431,2,11,0.181818182,0,0,0,0,0,0,11,0,No,54,12.22,57,13.89
2970-08302,24052,Urban,1,103,G,10170,6,11,0.545454546,0,0,0,0,0,0,11,0,No,54,12.22,57,13.89
2970-08303,24052,Urban,1,103,G,10047,1,4,0.25,0,0,0,0,0,0,4,0,No,54,12.22,57,13.89
2970-08304,24053,Urban,1,103,G,10266,3,3,1,0,0,0,0,0,0,3,0,No,54,12.22,57,13.89
2970-08305,24053,Urban,1,103,G,10293,0,1,0,0,0,0,0,0,0,1,0,No,54,12.22,57,13.89
3010-18105,24053,Urban,1,103,G,10169,1,9,0.111111111,0,0,0,0,0,0,9,0,No,54,12.22,57,13.89
2970-08307,24053,Urban,1,103,G,10238,1,4,0.25,0,0,0,0,0,0,4,0,No,54,12.22,57,13.89
2970-08308,24053,Urban,1,103,G,10168,3,4,0.75,0,0,0,0,0,0,4,0,No,54,12.22,57,13.89
2970-08311,24059,Urban,1,103,G,10171,1,1,1,0,0,0,0,0,0,1,0,No,54,12.22,58,14.44
2970-08313,24065,Suburban,2,116,G,10146,1,0,0,0,0,0,0,0,0,0,0,No,58,14.44,54,12.22
2940-13886,24070,Urban,1,103,G,9447,1,2,0.5,0,0,0,0,0,0,2,0,No,58,14.44,57,13.89
2970-08317,24070,Urban,1,103,G,10157,1,1,1,0,0,0,0,0,0,1,0,No,58,14.44,57,13.89
2970-08318,24070,Urban,1,103,G,10320,1,4,0.25,0,0,1,0,0,0,5,0,No,58,14.44,57,13.89
2970-08322,24071,Suburban,2,143,G,10283,4,5,0.8,0,0,0,0,0,0,5,0,No,58,14.44,57,13.89
2970-08323,24071,Suburban,2,143,G,8532,0,5,0,0,0,0,0,0,0,5,0,No,58,14.44,57,13.89
2970-08324,24073,Suburban,2,142,G,10160,8,11,0.727272727,0,1,1,0,0,0,13,0,No,55,12.78,55,12.78
2970-08325,24073,Suburban,2,142,G,10327,5,3,1.666666667,0,0,1,0,0,0,4,0,No,55,12.78,55,12.78
2970-08326,24073,Suburban,2,142,G,10109,1,1,1,0,0,0,0,0,0,1,0,No,55,12.78,55,12.78
2970-08352,24106,Suburban,2,79,G,9165,0,1,0,0,0,0,0,0,0,1,0,No,63,17.22,68,20
2970-08363,24107,Suburban,2,142,G,10086,0,3,0,0,0,0,0,0,0,3,0,No,56,13.33,60,15.56
2970-08364,24113,Urban,1,103,G,10203,1,22,0.045454545,0,0,1,0,0,0,23,0,No,63,17.22,65,18.33
2970-08370,24137,Urban,1,103,G,10175,2,13,0.153846154,0,0,1,0,0,0,14,0,No,72,22.22,75,23.89
